"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","321","Get exercises","LMS service","Mon May 11 13:32:22 UTC 2026","passed","Mon May 11 13:32:23 UTC 2026","Get Entities","Exercises","",""
"","592","Create user","LMS service","Mon May 11 13:32:26 UTC 2026","passed","Mon May 11 13:32:26 UTC 2026","Create Entity","Users","",""
"","325","Create user","LMS service","Mon May 11 13:32:26 UTC 2026","passed","Mon May 11 13:32:27 UTC 2026","Create Entity","Users","",""
"","310","Create file with empty directory","LMS service","Mon May 11 13:32:25 UTC 2026","passed","Mon May 11 13:32:25 UTC 2026","Validate Entity","Files","",""
"","14","Get user me","LMS service","Mon May 11 13:32:28 UTC 2026","passed","Mon May 11 13:32:28 UTC 2026","Get Entity","Users","",""
"","332","Get courses","LMS service","Mon May 11 13:32:18 UTC 2026","passed","Mon May 11 13:32:18 UTC 2026","Get Entities","Courses","",""
"","331","Update course","LMS service","Mon May 11 13:32:18 UTC 2026","passed","Mon May 11 13:32:18 UTC 2026","Update Entity","Courses","",""
"","19","Get exercise","LMS service","Mon May 11 13:32:21 UTC 2026","passed","Mon May 11 13:32:21 UTC 2026","Get Entity","Exercises","",""
"","628","Create user","LMS service","Mon May 11 13:32:26 UTC 2026","passed","Mon May 11 13:32:27 UTC 2026","Create Entity","Users","",""
"","305","Create file with empty filename","LMS service","Mon May 11 13:32:24 UTC 2026","passed","Mon May 11 13:32:24 UTC 2026","Validate Entity","Files","",""
"","322","Login with correct email and password","LMS service","Mon May 11 13:32:17 UTC 2026","passed","Mon May 11 13:32:17 UTC 2026","Login","Authentication","",""
"","32","Create course","LMS service","Mon May 11 13:32:19 UTC 2026","passed","Mon May 11 13:32:19 UTC 2026","Create Entity","Courses","",""
"","324","Delete exercise","LMS service","Mon May 11 13:32:22 UTC 2026","passed","Mon May 11 13:32:22 UTC 2026","Delete Entity","Exercises","",""
"","305","Get file with incorrect file id","LMS service","Mon May 11 13:32:26 UTC 2026","passed","Mon May 11 13:32:26 UTC 2026","Validate Entity","Files","",""
"","22","Delete file","LMS service","Mon May 11 13:32:26 UTC 2026","passed","Mon May 11 13:32:26 UTC 2026","Delete Entity","Files","",""
"","14","Get file","LMS service","Mon May 11 13:32:24 UTC 2026","passed","Mon May 11 13:32:24 UTC 2026","Get Entity","Files","",""
"","23","Update exercise","LMS service","Mon May 11 13:32:20 UTC 2026","passed","Mon May 11 13:32:20 UTC 2026","Update Entity","Exercises","",""
"","357","Create file","LMS service","Mon May 11 13:32:23 UTC 2026","passed","Mon May 11 13:32:23 UTC 2026","Create Entity","Files","",""
"","325","Createe exercise","LMS service","Mon May 11 13:32:20 UTC 2026","passed","Mon May 11 13:32:20 UTC 2026","Create Entity","Exercises","",""
