"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","LMS service","0","Exercises","0","0","Delete Entity","0"
"1","LMS service","0","Courses","0","0","Get Entities","0"
"3","LMS service","0","Files","0","0","Validate Entity","0"
"0","LMS service","0","Users","3","0","Create Entity","0"
"0","LMS service","0","Authentication","1","0","Login","0"
"1","LMS service","0","Exercises","0","0","Get Entity","0"
"1","LMS service","0","Courses","0","0","Create Entity","0"
"0","LMS service","0","Users","1","0","Get Entity","0"
"1","LMS service","0","Exercises","0","0","Get Entities","0"
"0","LMS service","0","Files","1","0","Delete Entity","0"
"0","LMS service","0","Files","1","0","Get Entity","0"
"0","LMS service","0","Files","1","0","Create Entity","0"
"1","LMS service","0","Exercises","0","0","Update Entity","0"
"1","LMS service","0","Courses","0","0","Update Entity","0"
"1","LMS service","0","Exercises","0","0","Create Entity","0"
