"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","368","test_login","tests.authentication","2026-04-13","passed","2026-04-13","TestAuthentication","test_authentication","",""
"","73","test_delete_exercise","tests.exercises","2026-04-13","passed","2026-04-13","TestExercises","test_exercises","",""
"","370","test_create_user[example.com]","tests.users","2026-04-13","passed","2026-04-13","TestUsers","test_users","",""
"","348","test_create_user[mail.ru]","tests.users","2026-04-13","passed","2026-04-13","TestUsers","test_users","",""
"","57","test_get_courses","tests.courses","2026-04-13","passed","2026-04-13","TestCourses","test_courses","",""
"","357","test_create_user[gmail.com]","tests.users","2026-04-13","passed","2026-04-13","TestUsers","test_users","",""
"","101","test_create_file","tests.files","2026-04-13","passed","2026-04-13","TestFiles","test_files","",""
"","53","test_create_course","tests.courses","2026-04-13","passed","2026-04-13","TestCourses","test_courses","",""
"","42","test_delete_file","tests.files","2026-04-13","passed","2026-04-13","TestFiles","test_files","",""
"","22","test_create_file_with_empty_directory","tests.files","2026-04-13","passed","2026-04-13","TestFiles","test_files","",""
"","41","test_update_exercise","tests.exercises","2026-04-13","passed","2026-04-13","TestExercises","test_exercises","",""
"","19","test_get_file","tests.files","2026-04-13","passed","2026-04-13","TestFiles","test_files","",""
"","69","test_update_course","tests.courses","2026-04-13","passed","2026-04-13","TestCourses","test_courses","",""
"","37","test_create_exercise","tests.exercises","2026-04-13","passed","2026-04-13","TestExercises","test_exercises","",""
"","19","test_get_user_me","tests.users","2026-04-13","passed","2026-04-13","TestUsers","test_users","",""
"","41","test_create_file_with_empty_filename","tests.files","2026-04-13","passed","2026-04-13","TestFiles","test_files","",""
"","47","test_get_exercises","tests.exercises","2026-04-13","passed","2026-04-13","TestExercises","test_exercises","",""
"","33","test_get_file_with_incorrect_file_id","tests.files","2026-04-13","passed","2026-04-13","TestFiles","test_files","",""
"","27","test_get_exercise","tests.exercises","2026-04-13","passed","2026-04-13","TestExercises","test_exercises","",""
